date,jpm_daily_return,jpm_rolling_vol_5d,jpm_rolling_vol_20d,jpm_rolling_vol_60d,jpm_return_5d_sum,jpm_return_20d_sum,vix_level,vix_change,vix_return,vix_rolling_mean_20d,vix_jpm_corr_20d,dgs1_rate,dgs1_rate_change,dgs1_rate_momentum_20d,jpm_log_volume,jpm_dividend_amount,dividend_event_flag,dividend_growth_yoy,sentiment_score_0_1,market_stress_score_0_1,jpm_return_outlier_iqr,vix_level_outlier_iqr,jpm_daily_return_lag_1,jpm_daily_return_lag_5,jpm_daily_return_lag_20,jpm_rolling_vol_20d_lag_1,jpm_rolling_vol_20d_lag_5,jpm_rolling_vol_20d_lag_20,vix_level_lag_1,vix_level_lag_5,vix_level_lag_20,dgs1_rate_lag_1,dgs1_rate_lag_5,dgs1_rate_lag_20
2018-04-27,-0.0063577581168755,0.044613134536644,0.2412765971122036,0.281204026116729,-0.0187445774519059,-0.00013836140561340228,15.41,-0.8299999999999983,-0.0511083743842363,18.3845,-0.4870579784828481,2.24,-0.0099999999999997,0.1500000000000003,16.054516775879808,0.0,0,0.0,0.8196666666666667,0.1803333333333333,0,0,0.001000061794268,-0.0022375018206419,0.0182408926047525,0.2482269869696582,0.2967559656758795,0.2712714402981243,16.24,16.88,19.97,2.25,2.22,2.09
2018-04-30,-0.0056674591629165,0.0462628661616713,0.2312864147858318,0.280401510268741,-0.019571831170873,0.013644519415962899,15.93,0.5199999999999996,0.0337443218689161,18.0,-0.4120541463264783,2.24,0.0,0.1600000000000001,16.43617847693641,0.0,0,0.0,0.8023333333333333,0.1976666666666666,0,0,-0.0063577581168755,-0.0048445535416807,-0.0192782129055253,0.2412765971122036,0.2788391917126105,0.2785944580007347,15.41,16.34,23.62,2.24,2.25,2.08
2018-05-01,0.0,0.0528075568729055,0.2261701148800184,0.2768697393818268,-0.014873218924684403,1.4634655680198852e-05,15.49,-0.4399999999999995,-0.0276208411801631,17.7195,-0.3716907769819061,2.26,0.0199999999999995,0.1699999999999999,16.167209667443835,0.0,0,0.0,0.817,0.183,0,0,-0.0056674591629165,-0.0046875910358897,0.0137231950939831,0.2312864147858318,0.2586547533318258,0.277293898619853,15.93,18.02,21.1,2.24,2.25,2.09
2018-05-02,-0.0079057233616381,0.0638867383352374,0.2205133385892198,0.2583619323061765,-0.0189992120960758,-0.022991652196793604,15.97,0.4800000000000004,0.0309877340219497,17.514999999999997,-0.3632089593106338,2.24,-0.0199999999999995,0.1700000000000003,16.313835199182883,0.0,0,0.0,0.8009999999999999,0.199,0,0,0.0,-0.003803892907697,0.0151832596476615,0.2261701148800184,0.248424582330525,0.2841162216312729,15.49,17.84,20.06,2.26,2.26,2.07
2018-05-03,-0.006301045000953,0.0485340476440849,0.2146156662144072,0.250949958795942,-0.026319754533263302,-0.0423573719095062,15.9,-0.0700000000000002,-0.0043832185347526,17.363,-0.3355576186858353,2.24,0.0,0.1700000000000003,16.548520067797597,0.0,0,0.0,0.8033333333333333,0.1966666666666666,0,0,-0.0079057233616381,0.001000061794268,0.0131301931232108,0.2205133385892198,0.2482269869696582,0.2888383771768379,15.97,16.24,18.94,2.24,2.25,2.07
2018-05-04,0.0110965498363873,0.1232634240097945,0.2009533548566553,0.2516420555415412,-0.008906264977026202,-0.006068774931723399,14.77,-1.1300000000000008,-0.0710691823899372,17.026999999999997,-0.193031587497259,2.24,0.0,0.1800000000000001,16.29773870710336,0.0,0,0.0,0.841,0.159,0,0,-0.006301045000953,-0.0063577581168755,-0.024936968279693,0.2146156662144072,0.2412765971122036,0.3013045908599384,15.9,15.41,21.49,2.24,2.24,2.06
2018-05-07,0.0086691997611958,0.1359544408083019,0.1986123741568163,0.234460134766748,0.005409153196017598,-0.009373492780133798,14.75,-0.0199999999999995,-0.0013540961408259,16.676,-0.21526625670081,2.25,0.0099999999999997,0.1699999999999999,16.051603329061155,0.0,0,0.0,0.8416666666666667,0.1583333333333333,0,0,0.0110965498363873,-0.0056674591629165,0.0120080808600651,0.2009533548566553,0.2312864147858318,0.2843279214672804,14.77,15.93,21.77,2.24,2.24,2.08
2018-05-08,0.0148120244262173,0.1654549827745369,0.1936386283292437,0.2328693362826603,0.0201125509289352,-0.0136022862031318,14.71,-0.0399999999999991,-0.0027118644067796,16.388,-0.1356469728638766,2.26,0.0099999999999997,0.1699999999999999,16.344689323752846,0.0,0,0.0,0.843,0.157,0,0,0.0086691997611958,0.0,0.0191125414309689,0.1986123741568163,0.2261701148800184,0.29487372654763,14.75,15.49,20.47,2.25,2.26,2.09
2018-05-09,0.0218037362704441,0.1636813307886211,0.1989246548488743,0.2349393558615979,0.049619124673456395,0.0249086264258246,13.42,-1.290000000000001,-0.0876954452753229,16.047,-0.2357971916284698,2.27,0.0100000000000002,0.1800000000000001,16.246321833307924,0.0,0,0.0,0.886,0.1139999999999999,0,0,0.0148120244262173,-0.0079057233616381,-0.0167987783076402,0.1936386283292437,0.2205133385892198,0.2975842787869909,14.71,15.97,20.24,2.26,2.24,2.09
2018-05-10,0.007759400542044,0.0893432317559596,0.1809247644889055,0.2351279940276593,0.06366955626477809,0.008081869568835096,13.23,-0.1899999999999995,-0.0141579731743666,15.784,-0.1213570888224004,2.27,0.0,0.1600000000000001,16.030324094196157,0.0,0,0.0,0.8923333333333333,0.1076666666666666,0,0,0.0218037362704441,-0.006301045000953,0.0248601949087681,0.1989246548488743,0.2146156662144072,0.3100708345827326,13.42,15.9,18.49,2.27,2.24,2.11
